Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sharma, Priyaranjan; Singh, Sujit; Mishra, Dhananjay R; Sharma, Dev Ranjan; ",Optimization of Multi-Response Parameters of Inconel 600 on EDM using Rotary Brass Hollow Tubular Electrode by Taguchi Method,J.Sci. & Tech. Res.,2,2,20,2012,Publishing India
"Sharma, Priyaranjan; Singh, Sujit; Mishra, Dhananjay R; ",Electrical discharge machining of AISI 329 stainless steel using copper and brass rotary tubular electrode,Procedia materials science,5,,1771-1780,2014,Elsevier
"Mishra, Dhananjay R.; Tiwari, Anil Kr.; ",Sunken Effect on Buildings Structure,i-manager’s Journal on Mechanical Engineering,2,2,40-44,2011,i-manager’s
"Tiwari, Anil Kr.; Mishra, Dhananjay R.; ",Effect of covering by black polythene sheet and coal powder on nearby surfaces of sand bed solar still: Studying heat and mass transfer,"10th International Conference on Heat Transfer, Fluid Mechanics and Thermodynamics",,,514-521,2014,"International Conference on Heat Transfer, Fluid Mechanics and Thermodynamics"
"Sodha, Mahendra Singh; Mishra, Dhananjay R.; Tiwari, Anil Kr.; ",Validation of the basis of experimental simulation of heat transfer between a building and surrounding earth,SESI Journal,21,1 & 2,36-48,2011,Solar Energy Society of India
"Mishra, DR; Tiwari, AK; ",Performance evaluation of conventional and sand bed  ground solar still and effect of covering by black polythene sheet and coal powder on nearby surfaces of sand bed solar still.,3rd International Conference on  Recent Trend in Science and Technology (IC-RTST 2015),,,,2015,"Swami Vivekananda University, Sagar."
"Mishra, Dhananjay R.; Bhattad, Atul; Samaiya, Nitin K.; ",Electrical stimulation of trapezoidal canals,National conference on Advance materials,,,,2014,Sharda University
"Mishra, Dhananjay R.; Arora, Arun; ",Process Planning for Shape Deposition manufacturing Process,Proceeding of Recent trends and breakthrough Development in Mechanical Engineering. BITCON 2007,,,,2007,BIT
"Mishra, Dhananjay R.; Mishra, D.P.; ",Developing Web-Based Courses for Engineering Institutions,Proceedings of National Conference BITCON 2007,,,,2007,"BIT, Durg"
"Mishra, Dhananjay R.; Sharma, Alok; Shrivastava, Sanjeev; ",Biomass Gasification Technology.,All India seminar on power generation,,,56-58,2007,organized by the Institution of Engineering (India)  Electrical and …
"Mishra, Dhananjay R.; Mishra, D. P.; ",Troubleshooting & Maintenance of WLAN.,"All India Seminar on Recent Trends, Systems, Technology and Maintenance Management,",,,,2007,"Department of Mechanical Engineering. CSIT, Durg"
"Mishra, Dhananjay R.; Mishra, D.P.; ",WLAN Irrigation System.,"Proceeding of National Seminar On Application of Appropriate Technology for Rural Development,",,,,2006,Chhattisgarh Swami Vivekanand Technical University Bhilai
"Mishra, Dhananjay R.; Mishra, D. P.; ",Web based Agricultural Expert System.,Proceedings of National conference on Emerging Trends in Computer and Electronics Engineering for Rural Development,,,,2006,"CSIT, Durg"
"Mishra, D.R.; Tiwari, A.K.; ",Productivity enhancement of single slope solar still using ground energy,J. Sci. Tech. Res.,6,2,28-34,2014,
"Murari, K.; Mishra, D. R.; Shukla, D.K.; Jha, B.; Talwar, J.; ",Performance evaluation of concrete containing polypropylene and recron fiber as additive,J. Sci. & Tech. Res.,6,2,44-49,2014,J. Sci. & Tech. Res.
"Mishra, DR; Tiwari, AK; ",Shape factor of fully buried axis symmetry structures using thermal simulation method,"4th International conference on Challenges in  Environmental Science and Technology,",,,,2016,"SVNU, Sagar"
"Tiwari, Vivek; Mishra, Dhananjay R.; ",Response optimization of EDM parameters for Monel K-500,"4th International conference on Challenges in  Environmental Science and Technology, IC-CEST-2016",,,137,2016,"SVNU, Sagar"
"Gandhi, Sumit; Mishra, Dhananjay R.; ",Review on stepped spillway and baffle blocks as energy dissipater in gravity Dams,"4th International conference on Challenges in  Environmental Science and Technology, IC-CEST-2016",,,,2016,"SVNU, Sagar"
"TIWARI, ANIL KUMAR; MISHRA, DHANANJAY R; ",SUNKEN EFFECT ON BUILDINGS STRUCTURES,,,,,2012,
"Mishra, Dhananjay R.; Tiwari, Anil Kr.; Sodha, Mahendra Singh; ",Mathematical modeling and evaluation of new long single slope still for utilization of hot waste water,Applied Thermal Engineering,108,,353-357,2016,Pergamon
"Sodha, Mahendra Singh; Mishra, Dhananjay R; Tiwari, Anil Kr; ",Solar earth water still for highly wet ground,J Fundam Renew Energy Appl,4,,e103,2014,
"Sodha, Mahendra Singh; Mishra, Dhananjay R; ",Shape factor for bermed wall,Heat and mass transfer,47,9,1143,2011,Springer-Verlag
"Sharma, Mayank; Tiwari, Anil Kr.; Mishra, Dhananjay R.; ",A REVIEW ON DESALINATION OF WATER USING SINGLE SLOPE PASSIVE SOLAR STILL,International Journal of Development Research,6,11,10002-10012,2016,journalijdr
"Sharma, Mayank; Tiwari, Anil Kr.; Mishra, Dhananjay R .; ",Experimental evaluation of single basin solar still coupled with the ground earth surface using artificial neural network,Solaris 2017,,,,2017,
"Sharma, Mayank; Tiwari, Anil Kr; Mishra, Dhananjay R; ",Experimental evaluation of single basin solar still coupled with the ground earth surface using artificial neural network,Solaris 2017,,,Ch St.11,2017,
"Hidouri, Khaoula; Mishra, Dhananjay R.; ",Experimental Evaluation of Influence of Air Injection Rate on a Novel Single Slope Solar Still Integrated with an Air Compressor,Global Journal of Researches in Engineering: A Mechanical and Mechanics Engineering,17,3,31-39,2017,Global Journals Inc. (USA)
